228;234;02.12.2020 01:00:10,586;clean
229;235;02.12.2020 01:00:10,587;clean
230;236;02.12.2020 01:00:10,588;clean
231;237;02.12.2020 01:00:10,589;clean
232;238;02.12.2020 01:00:10,590;clean
233;239;02.12.2020 01:00:10,592;clean
234;240;02.12.2020 01:00:10,593;clean
235;241;02.12.2020 01:00:10,594;clean
236;242;02.12.2020 01:00:10,596;clean
237;243;02.12.2020 01:00:10,597;clean
238;244;02.12.2020 01:00:10,598;clean
239;245;02.12.2020 01:00:10,599;clean
240;246;02.12.2020 01:00:10,601;clean
241;247;02.12.2020 01:00:10,602;clean
242;248;02.12.2020 01:00:10,603;clean
243;249;02.12.2020 01:00:10,604;clean
244;250;02.12.2020 01:00:10,606;clean
245;251;02.12.2020 01:00:10,607;clean
246;252;02.12.2020 01:00:10,608;clean
247;253;02.12.2020 01:00:10,609;clean
248;254;02.12.2020 01:00:10,611;clean
249;255;02.12.2020 01:00:10,612;clean
250;256;02.12.2020 01:00:10,613;clean
251;257;02.12.2020 01:00:10,615;clean
252;258;02.12.2020 01:00:10,616;clean
253;259;02.12.2020 01:00:10,617;clean
254;260;02.12.2020 01:00:10,620;clean
255;261;02.12.2020 01:00:10,620;clean
256;262;02.12.2020 01:00:10,621;clean
257;263;02.12.2020 01:00:10,623;clean
258;264;02.12.2020 01:00:10,624;clean
259;265;02.12.2020 01:00:10,625;clean
260;266;02.12.2020 01:00:10,626;clean
261;267;02.12.2020 01:00:10,629;clean
262;268;02.12.2020 01:00:10,629;clean
263;269;02.12.2020 01:00:10,630;clean
264;270;02.12.2020 01:00:10,631;clean
265;271;02.12.2020 01:00:10,633;clean
266;272;02.12.2020 01:00:10,634;clean
267;273;02.12.2020 01:00:10,635;clean
268;274;02.12.2020 01:00:10,636;clean
269;275;02.12.2020 01:00:10,638;clean
270;276;02.12.2020 01:00:10,639;clean
271;277;02.12.2020 01:00:10,640;clean
272;278;02.12.2020 01:00:10,641;clean
273;279;02.12.2020 01:00:10,643;clean
274;280;02.12.2020 01:00:10,644;clean
275;281;02.12.2020 01:00:10,645;clean
276;282;02.12.2020 01:00:10,646;clean
277;283;02.12.2020 01:00:10,648;clean
278;284;02.12.2020 01:00:10,649;clean
279;285;02.12.2020 01:00:10,650;clean
280;286;02.12.2020 01:00:10,652;clean
281;287;02.12.2020 01:00:10,653;clean
282;288;02.12.2020 01:00:10,654;clean
283;289;02.12.2020 01:00:10,655;clean
284;290;02.12.2020 01:00:10,656;clean
286;291;02.12.2020 01:00:10,659;prohibited item | knife detected at position 4:9830
285;292;02.12.2020 01:00:10,659;clean
286;293;02.12.2020 01:00:10,659;clean
287;294;02.12.2020 01:00:10,660;clean
288;295;02.12.2020 01:00:10,662;clean
289;296;02.12.2020 01:00:10,663;clean
290;297;02.12.2020 01:00:10,664;clean
291;298;02.12.2020 01:00:10,665;clean
292;299;02.12.2020 01:00:10,666;clean
293;300;02.12.2020 01:00:10,668;clean
294;301;02.12.2020 01:00:10,669;clean
295;302;02.12.2020 01:00:10,670;clean
296;303;02.12.2020 01:00:10,671;clean
297;304;02.12.2020 01:00:10,673;clean
298;305;02.12.2020 01:00:10,674;clean
299;306;02.12.2020 01:00:10,675;clean
300;307;02.12.2020 01:00:10,676;clean
301;308;02.12.2020 01:00:10,679;clean
302;309;02.12.2020 01:00:10,679;clean
303;310;02.12.2020 01:00:10,680;clean
304;311;02.12.2020 01:00:10,681;clean
305;312;02.12.2020 01:00:10,682;clean
306;313;02.12.2020 01:00:10,684;clean
307;314;02.12.2020 01:00:10,685;clean
308;315;02.12.2020 01:00:10,686;clean
309;316;02.12.2020 01:00:10,688;clean
310;317;02.12.2020 01:00:10,689;clean
311;318;02.12.2020 01:00:10,691;clean
312;319;02.12.2020 01:00:10,692;clean
313;320;02.12.2020 01:00:10,693;clean
314;321;02.12.2020 01:00:10,696;clean
315;322;02.12.2020 01:00:10,696;clean
316;323;02.12.2020 01:00:10,697;clean
317;324;02.12.2020 01:00:10,698;clean
318;325;02.12.2020 01:00:10,700;clean
319;326;02.12.2020 01:00:10,701;clean
320;327;02.12.2020 01:00:10,702;clean
321;328;02.12.2020 01:00:10,703;clean
322;329;02.12.2020 01:00:10,705;clean
323;330;02.12.2020 01:00:10,706;clean
324;331;02.12.2020 01:00:10,708;clean
325;332;02.12.2020 01:00:10,708;clean
326;333;02.12.2020 01:00:10,710;clean
327;334;02.12.2020 01:00:10,711;clean
328;335;02.12.2020 01:00:10,713;clean
329;336;02.12.2020 01:00:10,713;clean
330;337;02.12.2020 01:00:10,715;clean
331;338;02.12.2020 01:00:10,716;clean
332;339;02.12.2020 01:00:10,717;clean
333;340;02.12.2020 01:00:10,718;clean
334;341;02.12.2020 01:00:10,720;clean
335;342;02.12.2020 01:00:10,721;clean
336;343;02.12.2020 01:00:10,722;clean
337;344;02.12.2020 01:00:10,724;clean
338;345;02.12.2020 01:00:10,725;clean
339;346;02.12.2020 01:00:10,726;clean
340;347;02.12.2020 01:00:10,727;clean
341;348;02.12.2020 01:00:10,728;clean
342;349;02.12.2020 01:00:10,730;clean
343;350;02.12.2020 01:00:10,731;clean
344;351;02.12.2020 01:00:10,732;clean
345;352;02.12.2020 01:00:10,734;clean
346;353;02.12.2020 01:00:10,735;clean
347;354;02.12.2020 01:00:10,736;clean
348;355;02.12.2020 01:00:10,737;clean
349;356;02.12.2020 01:00:10,738;clean
350;357;02.12.2020 01:00:10,739;clean
351;358;02.12.2020 01:00:10,741;clean
352;359;02.12.2020 01:00:10,742;clean
353;360;02.12.2020 01:00:10,743;clean
354;361;02.12.2020 01:00:10,745;clean
